precinct_id,county,is_complete,GEOID10,precinct_name,candidate,precinct,precinct_full,align1,alignfinal,congressional_district,precinct_delegates
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,bennetm,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,bidenj,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,buttigiegp,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,delaneyj,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,gabbardt,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,klobuchara,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,patrickd,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,sandersb,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,steyert,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,warrene,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,yanga,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Clark - Wynn,CLARK,FALSE,32003-Wynn,Wynn,uncommitted,Wynn,Wynn_Clark - Wynn,0,0,NA,11
Douglas - Voting District Undefined,DOUGLAS,FALSE,46043-Voting District Undefined,Voting District Undefined,bennetm,Voting District Undefined,Voting District Undefined_Douglas - Voting District Undefined,0,0,NA,NA
Douglas - Voting District Undefined,DOUGLAS,FALSE,46043-Voting District Undefined,Voting District Undefined,bidenj,Voting District Undefined,Voting District Undefined_Douglas - Voting District Undefined,0,0,NA,NA
Douglas - Voting District Undefined,DOUGLAS,FALSE,46043-Voting District Undefined,Voting District Undefined,buttigiegp,Voting District Undefined,Voting District Undefined_Douglas - Voting District Undefined,0,0,NA,NA
Douglas - Voting District Undefined,DOUGLAS,FALSE,46043-Voting District Undefined,Voting District Undefined,delaneyj,Voting District Undefined,Voting District Undefined_Douglas - Voting District Undefined,0,0,NA,NA
Douglas - Voting District Undefined,DOUGLAS,FALSE,46043-Voting District Undefined,Voting District Undefined,gabbardt,Voting District Undefined,Voting District Undefined_Douglas - Voting District Undefined,0,0,NA,NA
Douglas - Voting District Undefined,DOUGLAS,FALSE,46043-Voting District Undefined,Voting District Undefined,klobuchara,Voting District Undefined,Voting District Undefined_Douglas - Voting District Undefined,0,0,NA,NA
